BEDS,BATH,SQFT_LOG,ZIPCODE,SUBLOCALITY,BROKERTITLE,TYPE,LATITUDE,LONGITUDE,PRICE_CATEGORY
3,4.0,3.2612628687924934,10019,New York,Sotheby's International Realty - Downtown Manhattan,Co-op for sale,40.7703005,-73.9804715,Expensive
4,2.0,3.3394514413064407,10465,Bronx County,Joyce Realty,Multi-family home for sale,40.8135939,-73.8019007,Mid
4,3.0,3.2041199826559246,10301,Richmond County,OneSpace Realty Group LLC,Multi-family home for sale,40.6352888,-74.090616,Cheap
2,1.0,2.9041743682841634,10462,The Bronx,Other,Condo for sale,40.840912,-73.8545918,Cheap
6,4.0,3.339293966003392,11357,Queens County,Keller Williams Realty Greater Nassau,House for sale,40.7880839,-73.8180817,Expensive
2,1.0,3.339293966003392,11372,Queens,COMPASS,Co-op for sale,40.7531191,-73.8818757,Mid
4,4.0,3.552668216112193,10314,Richmond County,Momentum Real Estate Llc,House for sale,40.5898663,-74.1515902,Mid
1,1.0,2.8543060418010806,11249,Brooklyn,COMPASS,Pending,40.719753,-73.9642643,Mid
3,2.0,3.290034611362518,10305,Richmond County,DiTommaso Real Estate,Contingent,40.5990416,-74.0674289,Mid
2,2.0,3.041392685158225,10471,The Bronx,CHIN - Re/Max in The City,Pending,40.9057959,-73.90002,Cheap
2,2.0,3.339293966003392,10028,New York,Sotheby's International Realty - East Side Manhattan Brokerage,For sale,40.778004,-73.962547,Expensive
1,1.0,2.7403626894942437,11210,Brooklyn,RE MAX Edge,Co-op for sale,40.614409,-73.9479665,Cheap
2,1.0,2.9030899869919438,11230,Brooklyn,MNS,Co-op for sale,40.6311681,-73.9610093,Mid
2,2.0,2.998259338423699,10312,Richmond County,Re/Max Edge,Townhouse for sale,40.546286,-74.195582,Mid
1,2.0,3.339293966003392,10021,New York,Douglas Elliman - 575 Madison Ave,Co-op for sale,40.7710157,-73.9642556,Mid
3,1.0,2.6989700043360187,11375,Queens,Sbny Re,Co-op for sale,40.7223221,-73.8493655,Cheap
3,2.0,3.1386184338994925,11423,Queens County,Island Advantage Realty Llc,House for sale,40.7077562,-73.7787888,Mid
3,2.0,3.041392685158225,10460,The Bronx,R Jaundoo Realty Llc,Co-op for sale,40.8363242,-73.8654755,Cheap
3,2.0,3.1961761850399735,11432,Queens,Other,Co-op for sale,40.7125699,-73.79318,Cheap
2,2.0,3.0453229787866576,11229,Brooklyn,COMPASS,Pending,40.6062808,-73.9595399,Mid
2,2.0,2.8959747323590648,11385,Queens,Douglas Elliman - 936 Broadway,Condo for sale,40.7078968,-73.9105088,Mid
4,4.0,3.558708570533166,10312,Richmond County,RE/MAX Elite,Multi-family home for sale,40.5357703,-74.1849822,Mid
3,2.0,3.339293966003392,11432,Queens County,Keller Williams Rlty Landmark,House for sale,40.7181351,-73.7934614,Mid
3,2.3738608579684373,3.339293966003392,11375,Queens County,"Landair Property Advisors, LLC",Land for sale,40.7185125,-73.834819,Expensive
2,2.0,3.137354111370733,10023,Manhattan,Other,Condo for sale,40.7716812,-73.9815796,Expensive
3,2.0,3.041392685158225,11372,Queens,RE MAX 1st Choice,Co-op for sale,40.7551143,-73.8752634,Mid
1,2.0,3.339293966003392,10010,New York,Brown Harris Stevens - 445 Park Avenue,Co-op for sale,40.7382884,-73.9851838,Mid
4,2.0,3.339293966003392,11236,Kings County,Fillmore Real Estate,Multi-family home for sale,40.6468871,-73.8907758,Mid
2,1.0,2.7323937598229686,10306,Richmond County,Red Door Realty Group,Contingent,40.5740408,-74.0931899,Cheap
2,1.0,3.339293966003392,11367,Queens County,qvtopservice,Co-op for sale,40.7318363,-73.8270224,Cheap
3,2.3738608579684373,3.339293966003392,11209,Kings County,Corcoran East Side,House for sale,40.6207751,-74.0273954,Expensive
